file_name,total_words_qwen,total_words_openai,different_words_in_qwen,different_words_in_openai,different_chars_in_qwen,different_chars_in_openai,total_different_chars,total_different_words
TCGA-A5-A0G1,1464,1252,277,65,2071,8995,11066,342
TCGA-A5-A0G2,1134,937,268,71,1908,8709,10617,339
TCGA-A5-A0G3,1229,15,1229,15,8053,339,8392,1244
TCGA-A5-A0G5,2547,14,2547,14,16340,283,16623,2561
TCGA-A5-A0G9,2238,1958,363,83,2436,8915,11351,446
TCGA-A5-A0GA,2505,3930,718,2143,4123,13109,17232,2861
TCGA-A5-A0GB,2006,1793,301,88,1955,8741,10696,389
TCGA-A5-A0GD,1720,1523,293,96,1980,8964,10944,389
TCGA-A5-A0GE,1540,753,839,52,4190,8532,12722,891
TCGA-A5-A0GG,1781,1524,314,57,2163,8672,10835,371
TCGA-A5-A0GH,1238,1001,294,57,1973,8617,10590,351
TCGA-A5-A0GI,1945,1666,356,77,2460,9023,11483,433
TCGA-A5-A0GJ,2195,1823,411,39,2782,8856,11638,450
TCGA-A5-A0GM,1762,1433,375,46,2388,8577,10965,421
TCGA-A5-A0GN,1793,1587,238,32,1549,8828,10377,270
TCGA-A5-A0GP,814,610,243,39,1584,8505,10089,282
TCGA-A5-A0GQ,883,463,445,25,2990,8555,11545,470
TCGA-A5-A0GR,1376,1192,258,74,1525,8806,10331,332
TCGA-A5-A0GU,1062,2539,358,1835,2352,12261,14613,2193
TCGA-A5-A0GV,1344,1062,350,68,2210,8669,10879,418
TCGA-A5-A0GW,1108,885,277,54,1776,9047,10823,331
TCGA-A5-A0GX,1919,1602,383,66,2526,8874,11400,449
TCGA-A5-A0R6,898,1602,850,1554,5159,18289,23448,2404
TCGA-A5-A0R7,1759,620,1211,72,3635,8847,12482,1283
TCGA-A5-A0R8,1479,1309,207,37,1288,8582,9870,244
TCGA-A5-A0R9,2317,2133,270,86,1468,9138,10606,356
TCGA-A5-A0RA,1604,1422,231,49,1474,9073,10547,280
TCGA-A5-A0VO,1894,1713,246,65,1353,8764,10117,311
TCGA-A5-A0VP,1731,14,1731,14,11317,277,11594,1745
TCGA-A5-A0VQ,1383,3044,448,2109,2925,13055,15980,2557
TCGA-A5-A1OF,914,929,63,78,355,7139,7494,141
TCGA-A5-A1OG,1661,1703,69,111,367,7029,7396,180
TCGA-A5-A1OJ,2105,2176,62,133,159,1204,1363,195
TCGA-A5-A1OK,2875,2927,116,168,411,7661,8072,284
TCGA-AJ-A23M,840,805,72,37,428,8192,8620,109
TCGA-AJ-A23O,906,925,39,58,151,901,1052,97
TCGA-AP-A051,295,70,250,25,1521,8667,10188,275
TCGA-AP-A052,242,22,238,18,1614,8471,10085,256
TCGA-AP-A054,243,22,239,18,1540,8472,10012,257
TCGA-AP-A056,622,373,281,32,1782,8726,10508,313
TCGA-AP-A059,473,112,384,23,2505,16801,19306,407
TCGA-AP-A05A,366,142,267,43,1693,8656,10349,310
TCGA-AP-A05D,587,30,579,22,3551,16705,20256,601
TCGA-AP-A05H,476,309,207,40,1530,9383,10913,247
TCGA-AP-A05J,334,151,208,25,1561,15749,17310,233
TCGA-AP-A05N,311,147,191,27,1552,8542,10094,218
TCGA-AP-A05O,473,277,279,83,1783,8936,10719,362
TCGA-AP-A05P,270,29,262,21,1911,139304,141215,283
TCGA-A5-A0G1,1464,1252,277,65,2071,8995,11066,342
TCGA-A5-A0G2,1134,937,268,71,1908,8709,10617,339
TCGA-A5-A0G3,1229,15,1229,15,8053,339,8392,1244
TCGA-A5-A0G5,2547,14,2547,14,16340,283,16623,2561
TCGA-A5-A0G9,2238,1958,363,83,2436,8915,11351,446
TCGA-A5-A0GA,2505,3930,718,2143,4123,13109,17232,2861
TCGA-A5-A0GB,2006,1793,301,88,1955,8741,10696,389
TCGA-A5-A0GD,1720,1523,293,96,1980,8964,10944,389
TCGA-A5-A0GE,1540,753,839,52,4190,8532,12722,891
TCGA-A5-A0GG,1781,1524,314,57,2163,8672,10835,371
TCGA-A5-A0GH,1238,1001,294,57,1973,8617,10590,351
TCGA-A5-A0GI,1945,1666,356,77,2460,9023,11483,433
TCGA-A5-A0GJ,2195,1823,411,39,2782,8856,11638,450
TCGA-A5-A0GM,1762,1433,375,46,2388,8577,10965,421
TCGA-A5-A0GN,1793,1587,238,32,1549,8828,10377,270
TCGA-A5-A0GP,814,610,243,39,1584,8505,10089,282
TCGA-A5-A0GQ,883,463,445,25,2990,8555,11545,470
TCGA-A5-A0GR,1376,1192,258,74,1525,8806,10331,332
TCGA-A5-A0GU,1062,2539,358,1835,2352,12261,14613,2193
TCGA-A5-A0GV,1344,1062,350,68,2210,8669,10879,418
TCGA-A5-A0GW,1108,885,277,54,1776,9047,10823,331
TCGA-A5-A0GX,1919,1602,383,66,2526,8874,11400,449
TCGA-A5-A0R6,898,1602,850,1554,5159,18289,23448,2404
TCGA-A5-A0R7,1759,620,1211,72,3635,8847,12482,1283
TCGA-A5-A0R8,1479,1309,207,37,1288,8582,9870,244
TCGA-A5-A0R9,2317,2133,270,86,1468,9138,10606,356
TCGA-A5-A0RA,1604,1422,231,49,1474,9073,10547,280
TCGA-A5-A0VO,1894,1713,246,65,1353,8764,10117,311
TCGA-A5-A0VP,1731,14,1731,14,11317,277,11594,1745
TCGA-A5-A0VQ,1383,3044,448,2109,2925,13055,15980,2557
TCGA-A5-A1OF,914,929,63,78,355,7139,7494,141
TCGA-A5-A1OG,1661,1703,69,111,367,7029,7396,180
TCGA-A5-A1OJ,2105,2176,62,133,159,1204,1363,195
TCGA-A5-A1OK,2875,2927,116,168,411,7661,8072,284
TCGA-AJ-A23M,840,805,72,37,428,8192,8620,109
TCGA-AJ-A23O,906,925,39,58,151,901,1052,97
TCGA-AP-A051,295,70,250,25,1521,8667,10188,275
TCGA-AP-A052,242,22,238,18,1614,8471,10085,256
TCGA-AP-A054,243,22,239,18,1540,8472,10012,257
TCGA-AP-A056,622,373,281,32,1782,8726,10508,313
TCGA-AP-A059,473,112,384,23,2505,16801,19306,407
TCGA-AP-A05A,366,142,267,43,1693,8656,10349,310
TCGA-AP-A05D,587,30,579,22,3551,16705,20256,601
TCGA-AP-A05H,476,309,207,40,1530,9383,10913,247
TCGA-AP-A05J,334,151,208,25,1561,15749,17310,233
TCGA-AP-A05N,311,147,191,27,1552,8542,10094,218
TCGA-AP-A05O,473,277,279,83,1783,8936,10719,362
TCGA-AP-A05P,270,29,262,21,1911,139304,141215,283
TCGA-A5-A0G1,1464,1237,277,50,2098,8503,10601,327
TCGA-A5-A0G2,1134,923,268,57,1935,8314,10249,325
TCGA-A5-A0G3,1229,15,1229,15,8053,339,8392,1244
TCGA-A5-A0G5,2547,14,2547,14,16340,283,16623,2561
TCGA-A5-A0G9,2238,1944,363,69,2463,8520,10983,432
TCGA-A5-A0GA,2505,3916,718,2129,4150,12714,16864,2847
TCGA-A5-A0GB,2006,1779,301,74,1982,8346,10328,375
TCGA-A5-A0GD,1720,1509,293,82,2007,8569,10576,375
TCGA-A5-A0GE,1540,739,839,38,4217,8137,12354,877
TCGA-A5-A0GG,1781,1510,314,43,2190,8277,10467,357
TCGA-A5-A0GH,1238,987,294,43,2000,8222,10222,337
TCGA-A5-A0GI,1945,1652,356,63,2487,8628,11115,419
TCGA-A5-A0GJ,2195,1809,411,25,2809,8461,11270,436
TCGA-A5-A0GM,1762,1419,375,32,2415,8182,10597,407
TCGA-A5-A0GN,1793,1573,238,18,1576,8433,10009,256
TCGA-A5-A0GP,814,596,243,25,1611,8110,9721,268
TCGA-A5-A0GQ,883,449,445,11,3017,8160,11177,456
TCGA-A5-A0GR,1376,1178,258,60,1552,8411,9963,318
TCGA-A5-A0GU,1062,2525,358,1821,2379,11866,14245,2179
TCGA-A5-A0GV,1344,1048,350,54,2237,8274,10511,404
TCGA-A5-A0GW,1108,871,277,40,1803,8652,10455,317
TCGA-A5-A0GX,1919,1588,383,52,2553,8479,11032,435
TCGA-A5-A0R6,898,1588,850,1540,5186,17894,23080,2390
TCGA-A5-A0R7,1759,606,1211,58,3662,8452,12114,1269
TCGA-A5-A0R8,1479,1295,207,23,1315,8187,9502,230
TCGA-A5-A0R9,2317,2119,270,72,1495,8743,10238,342
TCGA-A5-A0RA,1604,1408,231,35,1501,8678,10179,266
TCGA-A5-A0VO,1894,1699,246,51,1380,8369,9749,297
TCGA-A5-A0VP,1731,14,1731,14,11317,277,11594,1745
TCGA-A5-A0VQ,1383,3030,448,2095,2952,12660,15612,2543
TCGA-A5-A1OF,914,915,63,64,382,6744,7126,127
TCGA-A5-A1OG,1661,1689,69,97,394,6634,7028,166
TCGA-A5-A1OJ,2105,2162,62,119,186,809,995,181
TCGA-A5-A1OK,2875,2913,116,154,438,7266,7704,270
TCGA-AJ-A23M,840,791,72,23,455,7797,8252,95
TCGA-AJ-A23O,906,911,39,44,178,506,684,83
TCGA-AP-A051,295,56,250,11,1548,8272,9820,261
TCGA-AP-A052,242,8,238,4,1641,8076,9717,242
TCGA-AP-A054,243,8,239,4,1567,8077,9644,243
TCGA-AP-A056,622,359,281,18,1809,8331,10140,299
TCGA-AP-A059,473,98,384,9,2532,16406,18938,393
TCGA-AP-A05A,366,128,267,29,1720,8261,9981,296
TCGA-AP-A05D,587,16,579,8,3578,16310,19888,587
TCGA-AP-A05H,476,295,207,26,1557,8988,10545,233
TCGA-AP-A05J,334,137,208,11,1588,15354,16942,219
TCGA-AP-A05N,311,133,191,13,1579,8147,9726,204
TCGA-AP-A05O,473,263,279,69,1810,8541,10351,348
TCGA-AP-A05P,270,15,262,7,1938,138909,140847,269
TCGA-AP-A0LD,430,397,50,17,387,5881,6268,67
TCGA-AP-A0LE,427,330,122,25,920,5926,6846,147
TCGA-AP-A0LN,455,415,68,28,388,6245,6633,96
